,Marktbereich,PHG,Modeserie,PUG,Zielgruppe,Modell,Modell.1,Farbkarte,Farbe,FS18,FS19,FS20,FS21
0,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Damen,4526.0,Wo Dyce Gloves,SCHWARZ,black,0,216,1,0
1,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Damen,4526.0,Wo Dyce Gloves,TÜRKIS,atlantis,0,1,0,0
2,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Damen,4526.0,Wo Dyce Gloves,TÜRKIS,reef,0,81,0,0
3,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Damen,4526.0,Wo Dyce Gloves,TÜRKIS,spring blue,0,33,0,0
4,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Damen,40471.0,Wo Dyce Gloves II,GRAU,iron,0,157,219,173
5,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Damen,40471.0,Wo Dyce Gloves II,GRÜN,nickel green,0,99,3,0
6,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Damen,40471.0,Wo Dyce Gloves II,PINK,crimson red,0,75,78,19
7,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Damen,40471.0,Wo Dyce Gloves II,ROT,strawberry,0,75,0,0
8,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Herren,4555.0,Me Dyce Gloves,SCHWARZ,black,0,3,0,0
9,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Herren,4555.0,Me Dyce Gloves,SCHWARZ,black/red,0,0,0,0
10,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Herren,40470.0,Me Dyce Gloves II,BLAU,baltic sea,0,183,214,0
11,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Herren,40470.0,Me Dyce Gloves II,GRAU,iron,0,0,0,0
12,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Herren,40470.0,Me Dyce Gloves II,GRÜN,petroleum,0,85,0,0
13,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Herren,40470.0,Me Dyce Gloves II,ROT,mars red,0,0,160,113
14,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Herren,40470.0,Me Dyce Gloves II,SCHWARZ,black,0,319,455,413
15,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Herren,40472.0,Me Cardo Gloves II,BLAU,radiate blue,0,13,0,0
16,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Herren,40472.0,Me Cardo Gloves II,SCHWARZ,black,0,96,5,0
17,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Herren,40472.0,Me Cardo Gloves II,SCHWARZ,black uni,0,159,164,1
18,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Herren,40472.0,Me Cardo Gloves II,SCHWARZ,black/radiate blue,0,69,33,1
19,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,3695.0,All Mountain Wool Socks,SCHWARZ,black,0,173,57,0
20,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,5013.0,Shoecover Tiak,SCHWARZ,black,0,81,0,0
21,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40134.0,Bike Socks Short,SCHWARZ,black,6,8555,10926,10497
22,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40134.0,Bike Socks Short,WEISS,white,0,2278,2837,2556
23,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40135.0,Bike Socks Mid,BLAU,hydro blue,0,2,0,0
24,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40135.0,Bike Socks Mid,BLAU,icicle,0,0,978,1123
25,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40135.0,Bike Socks Mid,BLAU,radiate blue,0,146,41,0
26,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40135.0,Bike Socks Mid,BLAU,radiate/baltic,0,466,243,25
27,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40135.0,Bike Socks Mid,GRAU,blue gray,0,0,3,1422
28,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40135.0,Bike Socks Mid,GRÜN,lake,0,0,522,4
29,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40135.0,Bike Socks Mid,PINK,bramble,0,0,0,479
30,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40135.0,Bike Socks Mid,PINK,crimson red,0,343,524,21
