Marktbereich;PHG;Modeserie;PUG;Zielgruppe;Modell;Modell;Farbkarte;Farbe;FS18;FS19;FS20;FS21
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Damen;4526;Wo Dyce Gloves;SCHWARZ;black;0;216;1;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Damen;4526;Wo Dyce Gloves;TÜRKIS;atlantis;0;1;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Damen;4526;Wo Dyce Gloves;TÜRKIS;reef;0;81;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Damen;4526;Wo Dyce Gloves;TÜRKIS;spring blue;0;33;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Damen;40471;Wo Dyce Gloves II;GRAU;iron;0;157;219;173
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Damen;40471;Wo Dyce Gloves II;GRÜN;nickel green;0;99;3;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Damen;40471;Wo Dyce Gloves II;PINK;crimson red;0;75;78;19
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Damen;40471;Wo Dyce Gloves II;ROT;strawberry;0;75;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Herren;4555;Me Dyce Gloves;SCHWARZ;black;0;3;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Herren;4555;Me Dyce Gloves;SCHWARZ;black/red;0;0;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Herren;40470;Me Dyce Gloves II;BLAU;baltic sea;0;183;214;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Herren;40470;Me Dyce Gloves II;GRAU;iron;0;0;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Herren;40470;Me Dyce Gloves II;GRÜN;petroleum;0;85;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Herren;40470;Me Dyce Gloves II;ROT;mars red;0;0;160;113
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Herren;40470;Me Dyce Gloves II;SCHWARZ;black;0;319;455;413
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Herren;40472;Me Cardo Gloves II;BLAU;radiate blue;0;13;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Herren;40472;Me Cardo Gloves II;SCHWARZ;black;0;96;5;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Herren;40472;Me Cardo Gloves II;SCHWARZ;black uni;0;159;164;1
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Herren;40472;Me Cardo Gloves II;SCHWARZ;black/radiate blue;0;69;33;1
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;3695;All Mountain Wool Socks;SCHWARZ;black;0;173;57;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;5013;Shoecover Tiak;SCHWARZ;black;0;81;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40134;Bike Socks Short;SCHWARZ;black;6;8555;10926;10497
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40134;Bike Socks Short;WEISS;white;0;2278;2837;2556
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40135;Bike Socks Mid;BLAU;hydro blue;0;2;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40135;Bike Socks Mid;BLAU;icicle;0;0;978;1123
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40135;Bike Socks Mid;BLAU;radiate blue;0;146;41;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40135;Bike Socks Mid;BLAU;radiate/baltic;0;466;243;25
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40135;Bike Socks Mid;GRAU;blue gray;0;0;3;1422
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40135;Bike Socks Mid;GRÜN;lake;0;0;522;4
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40135;Bike Socks Mid;PINK;bramble;0;0;0;479
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40135;Bike Socks Mid;PINK;crimson red;0;343;524;21
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40135;Bike Socks Mid;SCHWARZ;black;2;155;15;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40135;Bike Socks Mid;;black/white;0;1393;1257;2083
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40135;Bike Socks Mid;WEISS;white;0;0;439;29
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40136;Bike Socks Long;BLAU;eclipse;0;268;122;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40136;Bike Socks Long;BLAU;polar sea;0;2;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40136;Bike Socks Long;BLAU;sailor blue;1;0;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40136;Bike Socks Long;BLAU;sailor blue/white;0;107;230;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40136;Bike Socks Long;GRAU;pewter grey;0;94;27;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40136;Bike Socks Long;GRÜN;nickel green;0;212;221;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;40140;Shoecover Gravit II;SCHWARZ;black;0;68;32;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Accessories;Unisex;41304;Green Core Headband;GRÜN;eel;0;306;1;1
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Doppeljacke;Herren;42587;Me All Year Moab 3in1 Rain Jacket;BLAU;dark sea;0;0;0;7
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Doppeljacke;Herren;42587;Me All Year Moab 3in1 Rain Jacket;SCHWARZ;black;0;0;0;9
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;4969;Wo Bike Innershorts II;SCHWARZ;black;0;1;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;5476;Wo Tremalzo Rain Pants;SCHWARZ;black;0;10;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;5477;Wo Tremalzo Rain Shorts;GRÜN;apple;0;17;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;5477;Wo Tremalzo Rain Shorts;SCHWARZ;black;0;24;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;5480;Wo Topa Shorts;BLAU;polar sea;0;3;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;5480;Wo Topa Shorts;PINK;grenadine;0;3;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;5482;Wo Moab Shorts;ROT;claret red;0;1;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;5482;Wo Moab Shorts;ROT;flame/apricot;0;6;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;5482;Wo Moab Shorts;TÜRKIS;reef;0;7;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;5485;Wo Tremalzo Shorts;KHAKI;cedar wood;0;2;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;5485;Wo Tremalzo Shorts;SCHWARZ;black;0;1;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;5486;Wo Craggy Pants II;TÜRKIS;spring blue;0;5;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40258;Wo Qimsa Softshell Pants II;BLAU;dark sea;0;0;0;52
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40258;Wo Qimsa Softshell Pants II;BLAU;eclipse;0;82;38;0
